rebalance_date,top3,bought_funds,sold_funds,sold_fund,units,buy_nav,buy_date,sell_nav,sell_date,profit_loss,portfolio_value,portfolio_value_breakdown
2019-01-01,"Axis Flexi Cap Fund (9.58%), UTI - Flexi Cap Fund. (5.07%), Canara Robeco Flexi Cap Fund (2.44%)","Axis Flexi Cap Fund, UTI - Flexi Cap Fund., Canara Robeco Flexi Cap Fund",,,,,,,,,1000000.0,"[{""fund"": ""CASH"", ""units"": """", ""nav"": """", ""value"": 1000000}]"
2020-01-01,"Axis Flexi Cap Fund (18.74%), DSP Flexi Cap Fund (17.74%), JM Flexicap Fund (17.24%)","DSP Flexi Cap Fund, JM Flexicap Fund","UTI - Flexi Cap Fund., Canara Robeco Flexi Cap Fund",UTI - Flexi Cap Fund.,2388.06,139.58,2019-01-01 00:00:00,156.82,2020-01-01 00:00:00,41151.32,1147486.17,"[{""fund"": ""Axis Flexi Cap Fund"", ""units"": 30030.03003003003, ""nav"": 13.18, ""value"": 395795.7957957958}, {""fund"": ""UTI - Flexi Cap Fund."", ""units"": 2388.0619826263714, ""nav"": 156.8153, ""value"": 374484.6562241492}, {""fund"": ""Canara Robeco Flexi Cap Fund"", ""units"": 2546.2786138059228, ""nav"": 148.14, ""value"": 377205.71384920937}]"
2020-01-01,"Axis Flexi Cap Fund (18.74%), DSP Flexi Cap Fund (17.74%), JM Flexicap Fund (17.24%)","DSP Flexi Cap Fund, JM Flexicap Fund","UTI - Flexi Cap Fund., Canara Robeco Flexi Cap Fund",Canara Robeco Flexi Cap Fund,2546.28,130.91,2019-01-01 00:00:00,148.14,2020-01-01 00:00:00,43872.38,1147486.17,"[{""fund"": ""Axis Flexi Cap Fund"", ""units"": 30030.03003003003, ""nav"": 13.18, ""value"": 395795.7957957958}, {""fund"": ""UTI - Flexi Cap Fund."", ""units"": 2388.0619826263714, ""nav"": 156.8153, ""value"": 374484.6562241492}, {""fund"": ""Canara Robeco Flexi Cap Fund"", ""units"": 2546.2786138059228, ""nav"": 148.14, ""value"": 377205.71384920937}]"
2021-01-01,"Quant Flexi Cap Fund (50.17%), PGIM India Flexi Cap Fund (39.45%), Parag Parikh Flexi Cap Fund (33.47%)","Quant Flexi Cap Fund, PGIM India Flexi Cap Fund, Parag Parikh Flexi Cap Fund","JM Flexicap Fund, DSP Flexi Cap Fund, Axis Flexi Cap Fund",JM Flexicap Fund,10166.13,37.62,2020-01-01 00:00:00,42.41,2021-01-01 00:00:00,48614.41,1355933.15,"[{""fund"": ""Axis Flexi Cap Fund"", ""units"": 29020.89443270496, ""nav"": 16.02, ""value"": 464914.7288119335}, {""fund"": ""DSP Flexi Cap Fund"", ""units"": 8527.564734985763, ""nav"": 53.932, ""value"": 459908.6212872522}, {""fund"": ""JM Flexicap Fund"", ""units"": 10166.125493310248, ""nav"": 42.4065, ""value"": 431109.80073206103}]"
2021-01-01,"Quant Flexi Cap Fund (50.17%), PGIM India Flexi Cap Fund (39.45%), Parag Parikh Flexi Cap Fund (33.47%)","Quant Flexi Cap Fund, PGIM India Flexi Cap Fund, Parag Parikh Flexi Cap Fund","JM Flexicap Fund, DSP Flexi Cap Fund, Axis Flexi Cap Fund",DSP Flexi Cap Fund,8527.56,44.85,2020-01-01 00:00:00,53.93,2021-01-01 00:00:00,77413.23,1355933.15,"[{""fund"": ""Axis Flexi Cap Fund"", ""units"": 29020.89443270496, ""nav"": 16.02, ""value"": 464914.7288119335}, {""fund"": ""DSP Flexi Cap Fund"", ""units"": 8527.564734985763, ""nav"": 53.932, ""value"": 459908.6212872522}, {""fund"": ""JM Flexicap Fund"", ""units"": 10166.125493310248, ""nav"": 42.4065, ""value"": 431109.80073206103}]"
2021-01-01,"Quant Flexi Cap Fund (50.17%), PGIM India Flexi Cap Fund (39.45%), Parag Parikh Flexi Cap Fund (33.47%)","Quant Flexi Cap Fund, PGIM India Flexi Cap Fund, Parag Parikh Flexi Cap Fund","JM Flexicap Fund, DSP Flexi Cap Fund, Axis Flexi Cap Fund",Axis Flexi Cap Fund,29020.89,11.1,2019-01-01 00:00:00,16.02,2021-01-01 00:00:00,142782.8,1355933.15,"[{""fund"": ""Axis Flexi Cap Fund"", ""units"": 29020.89443270496, ""nav"": 16.02, ""value"": 464914.7288119335}, {""fund"": ""DSP Flexi Cap Fund"", ""units"": 8527.564734985763, ""nav"": 53.932, ""value"": 459908.6212872522}, {""fund"": ""JM Flexicap Fund"", ""units"": 10166.125493310248, ""nav"": 42.4065, ""value"": 431109.80073206103}]"
2022-01-01,"Quant Flexi Cap Fund (57.25%), BANK OF INDIA FLEXI CAP FUND (47.78%), Parag Parikh Flexi Cap Fund (46.76%)",BANK OF INDIA FLEXI CAP FUND,PGIM India Flexi Cap Fund,PGIM India Flexi Cap Fund,21855.79,20.68,2021-01-01 00:00:00,30.11,2022-01-01 00:00:00,206100.09,2032129.3,"[{""fund"": ""Quant Flexi Cap Fund"", ""units"": 11574.86688102778, ""nav"": 61.404, ""value"": 710743.1259626298}, {""fund"": ""PGIM India Flexi Cap Fund"", ""units"": 21855.78902049076, ""nav"": 30.11, ""value"": 658077.8074069768}, {""fund"": ""Parag Parikh Flexi Cap Fund"", ""units"": 12180.159830540533, ""nav"": 54.4581, ""value"": 663308.3620675594}]"
2023-01-01,"HDFC Flexi Cap Fund (19.09%), Quant Flexi Cap Fund (12.37%), ICICI Prudential Flexicap fund- (10.38%)","HDFC Flexi Cap Fund, ICICI Prudential Flexicap fund-","BANK OF INDIA FLEXI CAP FUND, Parag Parikh Flexi Cap Fund",BANK OF INDIA FLEXI CAP FUND,32786.86,20.66,2022-01-01 00:00:00,20.82,2023-01-01 00:00:00,5245.9,2078594.48,"[{""fund"": ""Quant Flexi Cap Fund"", ""units"": 11031.470780606942, ""nav"": 69.0027, ""value"": 761201.2688329867}, {""fund"": ""BANK OF INDIA FLEXI CAP FUND"", ""units"": 32786.85536361998, ""nav"": 20.82, ""value"": 682622.328670568}, {""fund"": ""Parag Parikh Flexi Cap Fund"", ""units"": 12438.488155341238, ""nav"": 51.0328, ""value"": 634770.8783338984}]"
2023-01-01,"HDFC Flexi Cap Fund (19.09%), Quant Flexi Cap Fund (12.37%), ICICI Prudential Flexicap fund- (10.38%)","HDFC Flexi Cap Fund, ICICI Prudential Flexicap fund-","BANK OF INDIA FLEXI CAP FUND, Parag Parikh Flexi Cap Fund",Parag Parikh Flexi Cap Fund,12438.49,37.11,2021-01-01 00:00:00,51.03,2023-01-01 00:00:00,173207.19,2078594.48,"[{""fund"": ""Quant Flexi Cap Fund"", ""units"": 11031.470780606942, ""nav"": 69.0027, ""value"": 761201.2688329867}, {""fund"": ""BANK OF INDIA FLEXI CAP FUND"", ""units"": 32786.85536361998, ""nav"": 20.82, ""value"": 682622.328670568}, {""fund"": ""Parag Parikh Flexi Cap Fund"", ""units"": 12438.488155341238, ""nav"": 51.0328, ""value"": 634770.8783338984}]"
2024-01-01,"JM Flexicap Fund (42.14%), BANK OF INDIA FLEXI CAP FUND (40.3%), Parag Parikh Flexi Cap Fund (38.07%)","JM Flexicap Fund, BANK OF INDIA FLEXI CAP FUND, Parag Parikh Flexi Cap Fund","Quant Flexi Cap Fund, ICICI Prudential Flexicap fund-, HDFC Flexi Cap Fund",Quant Flexi Cap Fund,10041.13,39.05,2021-01-01 00:00:00,91.64,2024-01-01 00:00:00,528068.86,2727998.54,"[{""fund"": ""HDFC Flexi Cap Fund"", ""units"": 558.8678703457114, ""nav"": 1630.733, ""value"": 911364.2788124729}, {""fund"": ""Quant Flexi Cap Fund"", ""units"": 10041.126293306652, ""nav"": 91.6388, ""value"": 920156.7641670697}, {""fund"": ""ICICI Prudential Flexicap fund-"", ""units"": 58175.04830219571, ""nav"": 15.41, ""value"": 896477.4943368359}]"
