rebalance_date,top5,bought_funds,sold_funds,sold_fund,units,buy_nav,buy_date,sell_nav,sell_date,profit_loss,portfolio_value,portfolio_value_breakdown
2019-01-01,"Axis Flexi Cap Fund (9.58%), UTI - Flexi Cap Fund. (5.07%), Canara Robeco Flexi Cap Fund (2.44%), Kotak Flexicap Fund (1.09%), Parag Parikh Flexi Cap Fund (0.58%)","Axis Flexi Cap Fund, UTI - Flexi Cap Fund., Canara Robeco Flexi Cap Fund, Kotak Flexicap Fund, Parag Parikh Flexi Cap Fund",,,,,,,,,1000000.0,"[{""fund"": ""CASH"", ""units"": """", ""nav"": """", ""value"": 1000000}]"
2019-04-01,"HDFC Flexi Cap Fund (16.59%), Axis Flexi Cap Fund (15.26%), Canara Robeco Flexi Cap Fund (14.01%), Kotak Flexicap Fund (12.93%), UTI - Flexi Cap Fund. (12.87%)",HDFC Flexi Cap Fund,Parag Parikh Flexi Cap Fund,Parag Parikh Flexi Cap Fund,8284.63,24.14,2019-01-01 00:00:00,25.71,2019-04-01 00:00:00,12997.75,1061957.89,"[{""fund"": ""Axis Flexi Cap Fund"", ""units"": 18018.018018018018, ""nav"": 11.63, ""value"": 209549.54954954956}, {""fund"": ""UTI - Flexi Cap Fund."", ""units"": 1432.8371895758228, ""nav"": 147.9306, ""value"": 211960.4651562652}, {""fund"": ""Canara Robeco Flexi Cap Fund"", ""units"": 1527.7671682835537, ""nav"": 140.11, ""value"": 214055.45794820873}, {""fund"": ""Kotak Flexicap Fund"", ""units"": 5644.615037254459, ""nav"": 37.805, ""value"": 213394.67148340482}, {""fund"": ""Parag Parikh Flexi Cap Fund"", ""units"": 8284.626632589236, ""nav"": 25.71, ""value"": 212997.75072386925}]"
2019-07-01,"HDFC Flexi Cap Fund (19.27%), Kotak Flexicap Fund (12.27%), Axis Flexi Cap Fund (12.16%), Canara Robeco Flexi Cap Fund (11.65%), LIC MF Flexi Cap Fund (11.58%)",LIC MF Flexi Cap Fund,UTI - Flexi Cap Fund.,UTI - Flexi Cap Fund.,1435.75,139.58,2019-01-01 00:00:00,146.59,2019-07-01 00:00:00,10055.72,1087806.83,"[{""fund"": ""HDFC Flexi Cap Fund"", ""units"": 295.5227076912132, ""nav"": 736.955, ""value"": 217786.93704657804}, {""fund"": ""Axis Flexi Cap Fund"", ""units"": 18262.38856167322, ""nav"": 12.27, ""value"": 224079.50765173038}, {""fund"": ""Canara Robeco Flexi Cap Fund"", ""units"": 1515.8916492203234, ""nav"": 143.37, ""value"": 217333.3857487178}, {""fund"": ""Kotak Flexicap Fund"", ""units"": 5618.081708034903, ""nav"": 38.829, ""value"": 218144.49464128728}, {""fund"": ""UTI - Flexi Cap Fund."", ""units"": 1435.751487334328, ""nav"": 146.587, ""value"": 210462.5032738771}]"
2019-10-01,"Axis Flexi Cap Fund (18.33%), DSP Flexi Cap Fund (16.14%), JM Flexicap Fund (15.69%), Tata Flexi Cap Fund (11.53%), Navi Flexi Cap Fund (10.38%)","DSP Flexi Cap Fund, JM Flexicap Fund, Tata Flexi Cap Fund, Navi Flexi Cap Fund","HDFC Flexi Cap Fund, LIC MF Flexi Cap Fund, Kotak Flexicap Fund, Canara Robeco Flexi Cap Fund",HDFC Flexi Cap Fund,295.22,718.7,2019-04-01 00:00:00,667.84,2019-10-01 00:00:00,-15012.95,1063052.25,"[{""fund"": ""HDFC Flexi Cap Fund"", ""units"": 295.21662200872254, ""nav"": 667.844, ""value"": 197158.64970879332}, {""fund"": ""Kotak Flexicap Fund"", ""units"": 5603.063835598086, ""nav"": 37.613, ""value"": 210748.0400483508}, {""fund"": ""Axis Flexi Cap Fund"", ""units"": 17731.162646490473, ""nav"": 12.72, ""value"": 225540.38886335882}, {""fund"": ""Canara Robeco Flexi Cap Fund"", ""units"": 1517.4818000449056, ""nav"": 139.39, ""value"": 211521.78810825938}, {""fund"": ""LIC MF Flexi Cap Fund"", ""units"": 4353.796053120103, ""nav"": 50.0904, ""value"": 218083.38581920724}]"
2019-10-01,"Axis Flexi Cap Fund (18.33%), DSP Flexi Cap Fund (16.14%), JM Flexicap Fund (15.69%), Tata Flexi Cap Fund (11.53%), Navi Flexi Cap Fund (10.38%)","DSP Flexi Cap Fund, JM Flexicap Fund, Tata Flexi Cap Fund, Navi Flexi Cap Fund","HDFC Flexi Cap Fund, LIC MF Flexi Cap Fund, Kotak Flexicap Fund, Canara Robeco Flexi Cap Fund",LIC MF Flexi Cap Fund,4353.8,49.97,2019-07-01 00:00:00,50.09,2019-10-01 00:00:00,522.02,1063052.25,"[{""fund"": ""HDFC Flexi Cap Fund"", ""units"": 295.21662200872254, ""nav"": 667.844, ""value"": 197158.64970879332}, {""fund"": ""Kotak Flexicap Fund"", ""units"": 5603.063835598086, ""nav"": 37.613, ""value"": 210748.0400483508}, {""fund"": ""Axis Flexi Cap Fund"", ""units"": 17731.162646490473, ""nav"": 12.72, ""value"": 225540.38886335882}, {""fund"": ""Canara Robeco Flexi Cap Fund"", ""units"": 1517.4818000449056, ""nav"": 139.39, ""value"": 211521.78810825938}, {""fund"": ""LIC MF Flexi Cap Fund"", ""units"": 4353.796053120103, ""nav"": 50.0904, ""value"": 218083.38581920724}]"
2019-10-01,"Axis Flexi Cap Fund (18.33%), DSP Flexi Cap Fund (16.14%), JM Flexicap Fund (15.69%), Tata Flexi Cap Fund (11.53%), Navi Flexi Cap Fund (10.38%)","DSP Flexi Cap Fund, JM Flexicap Fund, Tata Flexi Cap Fund, Navi Flexi Cap Fund","HDFC Flexi Cap Fund, LIC MF Flexi Cap Fund, Kotak Flexicap Fund, Canara Robeco Flexi Cap Fund",Kotak Flexicap Fund,5603.06,35.43,2019-01-01 00:00:00,37.61,2019-10-01 00:00:00,12220.28,1063052.25,"[{""fund"": ""HDFC Flexi Cap Fund"", ""units"": 295.21662200872254, ""nav"": 667.844, ""value"": 197158.64970879332}, {""fund"": ""Kotak Flexicap Fund"", ""units"": 5603.063835598086, ""nav"": 37.613, ""value"": 210748.0400483508}, {""fund"": ""Axis Flexi Cap Fund"", ""units"": 17731.162646490473, ""nav"": 12.72, ""value"": 225540.38886335882}, {""fund"": ""Canara Robeco Flexi Cap Fund"", ""units"": 1517.4818000449056, ""nav"": 139.39, ""value"": 211521.78810825938}, {""fund"": ""LIC MF Flexi Cap Fund"", ""units"": 4353.796053120103, ""nav"": 50.0904, ""value"": 218083.38581920724}]"
2019-10-01,"Axis Flexi Cap Fund (18.33%), DSP Flexi Cap Fund (16.14%), JM Flexicap Fund (15.69%), Tata Flexi Cap Fund (11.53%), Navi Flexi Cap Fund (10.38%)","DSP Flexi Cap Fund, JM Flexicap Fund, Tata Flexi Cap Fund, Navi Flexi Cap Fund","HDFC Flexi Cap Fund, LIC MF Flexi Cap Fund, Kotak Flexicap Fund, Canara Robeco Flexi Cap Fund",Canara Robeco Flexi Cap Fund,1517.48,130.91,2019-01-01 00:00:00,139.39,2019-10-01 00:00:00,12868.25,1063052.25,"[{""fund"": ""HDFC Flexi Cap Fund"", ""units"": 295.21662200872254, ""nav"": 667.844, ""value"": 197158.64970879332}, {""fund"": ""Kotak Flexicap Fund"", ""units"": 5603.063835598086, ""nav"": 37.613, ""value"": 210748.0400483508}, {""fund"": ""Axis Flexi Cap Fund"", ""units"": 17731.162646490473, ""nav"": 12.72, ""value"": 225540.38886335882}, {""fund"": ""Canara Robeco Flexi Cap Fund"", ""units"": 1517.4818000449056, ""nav"": 139.39, ""value"": 211521.78810825938}, {""fund"": ""LIC MF Flexi Cap Fund"", ""units"": 4353.796053120103, ""nav"": 50.0904, ""value"": 218083.38581920724}]"
2020-01-01,"Axis Flexi Cap Fund (18.74%), DSP Flexi Cap Fund (17.74%), JM Flexicap Fund (17.24%), Parag Parikh Flexi Cap Fund (15.16%), Navi Flexi Cap Fund (15.05%)",Parag Parikh Flexi Cap Fund,Tata Flexi Cap Fund,Tata Flexi Cap Fund,19363.08,10.98,2019-10-01 00:00:00,11.53,2020-01-01 00:00:00,10591.6,1114137.02,"[{""fund"": ""Axis Flexi Cap Fund"", ""units"": 16714.658058930338, ""nav"": 13.18, ""value"": 220299.19321670185}, {""fund"": ""DSP Flexi Cap Fund"", ""units"": 4975.322362333417, ""nav"": 44.854, ""value"": 223163.10924010308}, {""fund"": ""JM Flexicap Fund"", ""units"": 5861.057599003005, ""nav"": 37.6245, ""value"": 220519.36163368853}, {""fund"": ""Tata Flexi Cap Fund"", ""units"": 19363.07631095917, ""nav"": 11.5272, ""value"": 223202.05325168857}, {""fund"": ""Navi Flexi Cap Fund"", ""units"": 19615.500697450287, ""nav"": 11.5701, ""value"": 226953.30461956956}]"
2020-04-01,"Axis Flexi Cap Fund (-10.58%), Parag Parikh Flexi Cap Fund (-16.29%), JM Flexicap Fund (-18.34%), Canara Robeco Flexi Cap Fund (-18.44%), LIC MF Flexi Cap Fund (-18.45%)","Canara Robeco Flexi Cap Fund, LIC MF Flexi Cap Fund","Navi Flexi Cap Fund, DSP Flexi Cap Fund",Navi Flexi Cap Fund,19258.9,10.84,2019-10-01 00:00:00,8.03,2020-04-01 00:00:00,-54007.73,829434.11,"[{""fund"": ""Axis Flexi Cap Fund"", ""units"": 16906.47984767453, ""nav"": 10.4, ""value"": 175827.39041581514}, {""fund"": ""DSP Flexi Cap Fund"", ""units"": 4967.8379719166705, ""nav"": 33.255, ""value"": 165205.45175608888}, {""fund"": ""JM Flexicap Fund"", ""units"": 5922.401743341448, ""nav"": 27.2145, ""value"": 161175.20224416585}, {""fund"": ""Parag Parikh Flexi Cap Fund"", ""units"": 8014.855311251441, ""nav"": 21.5211, ""value"": 172488.50263897338}, {""fund"": ""Navi Flexi Cap Fund"", ""units"": 19258.90047556636, ""nav"": 8.0346, ""value"": 154737.56176098547}]"
2020-04-01,"Axis Flexi Cap Fund (-10.58%), Parag Parikh Flexi Cap Fund (-16.29%), JM Flexicap Fund (-18.34%), Canara Robeco Flexi Cap Fund (-18.44%), LIC MF Flexi Cap Fund (-18.45%)","Canara Robeco Flexi Cap Fund, LIC MF Flexi Cap Fund","Navi Flexi Cap Fund, DSP Flexi Cap Fund",DSP Flexi Cap Fund,4967.84,42.73,2019-10-01 00:00:00,33.26,2020-04-01 00:00:00,-47085.17,829434.11,"[{""fund"": ""Axis Flexi Cap Fund"", ""units"": 16906.47984767453, ""nav"": 10.4, ""value"": 175827.39041581514}, {""fund"": ""DSP Flexi Cap Fund"", ""units"": 4967.8379719166705, ""nav"": 33.255, ""value"": 165205.45175608888}, {""fund"": ""JM Flexicap Fund"", ""units"": 5922.401743341448, ""nav"": 27.2145, ""value"": 161175.20224416585}, {""fund"": ""Parag Parikh Flexi Cap Fund"", ""units"": 8014.855311251441, ""nav"": 21.5211, ""value"": 172488.50263897338}, {""fund"": ""Navi Flexi Cap Fund"", ""units"": 19258.90047556636, ""nav"": 8.0346, ""value"": 154737.56176098547}]"
