lookback_years,num_funds,CAGR (%),total_return (%)
6,1,17.556131942789712,210.25373146492709
6,2,16.5231635953482,191.6660434011311
6,3,18.411734860231398,226.40981425081006
6,4,18.2423725224492,223.15579365775676
6,5,17.532339444955646,209.81444672258561
12,1,23.29435737596284,333.1141868964178
12,2,21.65226289613862,294.3132244306971
12,3,19.91643730285224,256.57510643447165
12,4,19.331009803146348,244.56662583650055
12,5,19.884094625053873,255.90244747284515
24,1,20.254292021588682,263.6671731671956
24,2,20.99634755156319,279.66960021446204
24,3,19.177949740450728,241.4847933106817
24,4,19.47244679050444,247.43559233873654
24,5,18.98237990778533,237.58143938906397
36,1,17.323517035410863,205.98174296898986
36,2,17.12368730991354,202.35221551598704
36,3,16.928649778758963,198.84537789384103
36,4,17.749298898182154,213.84001042978323
36,5,16.745181262405453,195.57843587746916
48,1,13.128695213915552,137.1425290092601
48,2,14.361205524886289,155.82976589120068
48,3,15.079723600093754,167.29551448795078
48,4,16.131826702907514,184.8779277089308
48,5,17.33329524187934,206.16029971916214
60,1,17.354009386784863,206.53884921824593
60,2,18.022955352566683,218.98142782168895
60,3,17.54240825888813,210.00028375315068
60,4,16.4754733212537,190.83146285440728
60,5,16.0935700961949,184.22165725384923
120,1,14.65607890498557,160.4831274551367
120,2,17.350788124820028,206.4799545590857
120,3,16.244190592837036,186.81298204130533
120,4,15.368910033300232,172.03295996866913
120,5,16.267914312766507,187.22297300392063
