transaction,fund,qty,bought_at,bought_on,sold_at,sold_on,profit
buy,Aditya Birla Sun Life Flexi Cap Fund,268.940107,743.66,2019-01-01,,,
buy,JM Flexicap Fund,6231.985666,32.0925,2019-01-01,,,
buy,Kotak Flexicap Fund,5644.615037,35.432,2019-01-01,,,
buy,Motilal Oswal Flexi Cap Fund,7573.605983,26.4075,2019-01-01,,,
buy,HDFC Flexi Cap Fund,300.550759,665.445,2019-01-01,,,
sell,Aditya Birla Sun Life Flexi Cap Fund,268.940107,743.66,2019-01-01,813.47,2020-01-01,18774.708869669994
sell,Motilal Oswal Flexi Cap Fund,7573.605983,26.4075,2019-01-01,28.6102,2020-01-01,16682.3818987541
sell,HDFC Flexi Cap Fund,300.550759,665.445,2019-01-01,712.78,2020-01-01,14226.570177264977
buy,Canara Robeco Flexi Cap Fund,2227.195438,148.14,2020-01-01,,,
buy,Edelweiss Flexi Cap Fund,20784.725472,15.874,2020-01-01,,,
buy,DSP Flexi Cap Fund,7355.792842,44.854,2020-01-01,,,
sell,JM Flexicap Fund,6231.985666,32.0925,2019-01-01,42.4065,2021-01-01,64276.70015912401
sell,Kotak Flexicap Fund,5644.615037,35.432,2019-01-01,45.363,2021-01-01,56056.671932447
sell,Edelweiss Flexi Cap Fund,20784.725472,15.874,2020-01-01,18.555,2021-01-01,55723.84899043199
sell,DSP Flexi Cap Fund,7355.792842,44.854,2020-01-01,53.932,2021-01-01,66775.887419676
buy,Axis Flexi Cap Fund,28747.897288,16.02,2021-01-01,,,
buy,UTI - Flexi Cap Fund.,2208.144972,208.5648,2021-01-01,,,
buy,Parag Parikh Flexi Cap Fund,12410.936667,37.1077,2021-01-01,,,
buy,PGIM India Flexi Cap Fund,22269.889485,20.68,2021-01-01,,,
sell,Canara Robeco Flexi Cap Fund,2227.195438,148.14,2020-01-01,246.27,2022-01-01,218554.6883309401
sell,Axis Flexi Cap Fund,28747.897288,16.02,2021-01-01,20.75,2022-01-01,135977.55417223996
buy,Quant Flexi Cap Fund,6986.54905,61.404,2022-01-01,,,
buy,BANK OF INDIA FLEXI CAP FUND,20764.862432,20.66,2022-01-01,,,
sell,UTI - Flexi Cap Fund.,2208.144972,208.5648,2021-01-01,244.3545,2023-01-01,79028.84610438842
buy,Franklin India Flexi Cap Fund,278.652686,1105.0101,2023-01-01,,,
sell,Parag Parikh Flexi Cap Fund,12410.936667,37.1077,2021-01-01,70.4621,2024-01-01,413959.34596578486
sell,PGIM India Flexi Cap Fund,22269.889485,20.68,2021-01-01,34.78,2024-01-01,314005.4417385
buy,HDFC Flexi Cap Fund,324.890392,1630.733,2024-01-01,,,
buy,JM Flexicap Fund,6067.655592,87.317,2024-01-01,,,
sell,Quant Flexi Cap Fund,6986.54905,61.404,2022-01-01,106.4001,2025-01-01,314367.45970870496
sell,BANK OF INDIA FLEXI CAP FUND,20764.862432,20.66,2022-01-01,38.38,2025-01-01,367953.3622950401
sell,Franklin India Flexi Cap Fund,278.652686,1105.0101,2023-01-01,1794.7699,2025-01-01,192203.4209648228
buy,Invesco India Flexi Cap Fund,30557.209961,19.9,2025-01-01,,,
buy,Motilal Oswal Flexi Cap Fund,8576.416006,70.9024,2025-01-01,,,
buy,ITI Flexi Cap Fund,32834.682971,18.5197,2025-01-01,,,
